,CH_01,CH_02,CH_03,CH_04,CH_05,CH_06,CH_07
t_230,0.111,0.11599999999999999,0.09,0.1845,0.2305,0.1825,0.23299999999999998
t_231,0.10600000000000001,0.10650000000000001,0.0535,0.095,0.16549999999999998,0.135,0.212
t_232,0.055,0.072,0.0345,0.0445,0.0975,0.07,0.116
t_233,0.0165,0.025500000000000002,0.011,0.010499999999999999,0.0175,0.0165,0.0205
t_234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_236,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_237,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_239,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_240,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_241,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_242,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_243,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_244,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_245,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_246,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_247,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_248,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_249,0.0195,0.0205,0.0225,0.013500000000000002,0.028999999999999998,0.0175,0.026500000000000003
t_250,0.114,0.0875,0.08099999999999999,0.08349999999999999,0.124,0.106,0.1665
t_251,0.1915,0.115,0.057999999999999996,0.15000000000000002,0.176,0.135,0.2525
t_252,0.261,0.1265,0.10200000000000001,0.2645,0.2605,0.2435,0.3305
t_253,0.28300000000000003,0.162,0.169,0.299,0.293,0.277,0.357
t_254,0.2585,0.155,0.1495,0.2145,0.2655,0.2295,0.3275
t_255,0.194,0.0925,0.10200000000000001,0.1225,0.184,0.133,0.245
t_256,0.1075,0.0635,0.072,0.069,0.08399999999999999,0.0695,0.1545
t_257,0.0335,0.020999999999999998,0.0205,0.0225,0.017,0.0205,0.033
t_258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_259,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_260,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_261,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_262,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_263,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_264,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_265,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_266,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_267,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_269,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_270,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_271,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_272,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_273,0.023,0.0235,0.025,0.0235,0.0195,0.019,0.0295
t_274,0.1085,0.091,0.0785,0.0625,0.07100000000000001,0.0735,0.138
t_275,0.145,0.112,0.0575,0.0155,0.053,0.0495,0.1815
t_276,0.17149999999999999,0.096,0.07300000000000001,0.019,0.066,0.058499999999999996,0.227
t_277,0.14,0.1,0.077,0.018,0.072,0.063,0.3
t_278,0.16349999999999998,0.109,0.08349999999999999,0.028,0.089,0.066,0.319
t_279,0.1445,0.105,0.07200000000000001,0.026,0.077,0.062,0.2475
t_280,0.092,0.0685,0.039,0.01,0.0435,0.043,0.151
t_281,0.026000000000000002,0.026500000000000003,0.016,0.0075,0.0125,0.017,0.0305
t_282,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_283,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
