zone,week,level
SE04,w2,0.5010645348837208
SE04,w3,0.5115306976744186
SE04,w4,0.5515779069767441
SE04,w5,0.5575123255813953
SE04,w6,0.5352041860465115
SE04,w7,0.521313488372093
SE04,w8,0.4980429279069767
SE04,w9,0.5016706744186046
SE04,w10,0.49830824651162786
SE04,w11,0.4998526046511627
SE04,w12,0.4985171162790697
SE04,w13,0.4979251325581395
SE04,w14,0.4984333255813953
SE04,w15,0.497706976744186
SE04,w16,0.5049725581395348
SE04,w17,0.6282627906976743
SE04,w18,0.6673813953488372
SE04,w19,0.7257
SE04,w20,0.7444883720930233
SE04,w21,0.7913302325581393
SE04,w22,0.794713953488372
SE04,w23,0.7777325581395348
SE04,w24,0.7380767441860465
SE04,w25,0.7698697674418604
SE04,w26,0.7842
SE04,w27,0.8360232558139534
SE04,w28,0.8403279069767442
SE04,w29,0.8580976744186046
SE04,w30,0.8660720930232557
SE04,w31,0.8249651162790697
SE04,w32,0.8588162790697673
SE04,w33,0.8650255813953488
SE04,w34,0.8066441860465117
SE04,w35,0.7868093023255813
SE04,w36,0.7511302325581395
SE04,w37,0.7082162790697674
SE04,w38,0.6689720930232558
SE04,w39,0.6564
SE04,w40,0.6414627906976744
SE04,w41,0.6047651162790697
SE04,w42,0.5550439534883721
SE04,w43,0.5173716279069767
SE04,w44,0.5066867441860464
SE04,w45,0.5111211627906976
SE04,w46,0.497706976744186
SE04,w47,0.497706976744186
SE04,w48,0.5170123255813953
SE04,w49,0.5226753488372092
SE04,w50,0.49865602325581393
SE04,w51,0.5178216279069767
SE04,w52,0.5042825581395348
SE04,w53,0.4985990232558139
AL00,w1,0.5889655172413794
PT00,w1,0.5764953664700927
PT00,w2,0.5834877843302445
PT00,w3,0.5786015164279699
PT00,w4,0.565122156697557
PT00,w5,0.573715248525695
PT00,w6,0.5752316764953664
PT00,w7,0.5743049705139007
PT00,w8,0.618702611625948
PT00,w9,0.6406065711878686
PT00,w10,0.6183656276326878
PT00,w11,0.6019376579612471
PT00,w12,0.5837405223251898
PT00,w13,0.5615838247683238
PT00,w14,0.5541701769165968
PT00,w15,0.5478517270429656
PT00,w16,0.5487784330244314
PT00,w17,0.532518955349621
PT00,w18,0.5240943555181132
PT00,w19,0.5226621735467566
PT00,w20,0.520808761583825
PT00,w21,0.5302443133951138
PT00,w22,0.5457455770850885
PT00,w23,0.5463352990732941
