zone,week,Minimum Reservoir levels at beginning of each week,Maximum Reservoir level at beginning of each week
SE02,35,0.7357153704767375,1
SE02,36,0.7265743021252155,1
SE02,37,0.706745215393452,1
SE02,38,0.6754265089029294,1
SE02,39,0.6669815680643308,1
SE02,40,0.7028426823664561,1
SE02,41,0.7252382998276853,1
SE02,42,0.7307932567489949,1
SE02,43,0.7315667317633544,1
SE02,44,0.7472471797817346,1
SE02,45,0.741692222860425,1
SE02,46,0.714550281447444,0.9965873980470994
SE02,47,0.6920632533026997,0.9910324411257898
SE02,48,0.6604773463526709,0.9892745433658817
SE02,49,0.622141112004595,0.9823132682366457
SE02,50,0.5856190281447444,0.9743675703618611
SE02,51,0.5553831866743251,0.9317561286616887
SE02,52,0.5279107604824813,0.8842225732337737
SE02,53,0.4642607983917289,0.8411892360712234
SE03,1,0.1580303605313093,0.945
SE03,2,0.1502998102466793,0.8768500948766603
SE03,3,0.1499127134724857,0.8068311195445921
SE03,4,0.1570132827324478,0.7475142314990513
SE03,5,0.1413472485768501,0.6827703984819734
SE03,6,0.1164250474383302,0.6187855787476281
SE03,7,0.09773055028462997,0.5603415559772296
SE03,8,0.06693738140417457,0.4994307400379507
SE03,9,0.05643263757115749,0.4351423149905123
SE03,10,0.04303225806451613,0.4139278937381404
SE03,11,0.02254193548387097,0.4335863377609108
SE03,12,0.02315711574952562,0.4909677419354839
SE03,13,0.02673662239089184,0.4842125237191651
SE03,14,0.01683795066413662,0.484326375711575
SE03,15,0.00340853889943074,0.5087666034155598
SE03,16,0.00184034155597723,0.5680075901328273
SE03,17,0.001909791271347249,0.6372296015180265
SE03,18,0.009049715370018975,0.7233396584440228
SE03,19,0.05249715370018976,0.7712333965844402
SE03,20,0.09006451612903225,0.7900189753320682
SE03,21,0.1217950664136622,0.7947248576850094
SE03,22,0.1419127134724858,0.7811385199240988
SE03,23,0.1415597722960152,0.7768121442125238
SE03,24,0.1481631878557875,0.7792030360531309
SE03,25,0.1816660341555977,0.8043643263757115
SE03,26,0.1998823529411765,0.8340037950664136
SE03,27,0.2310626185958254,0.8605692599620492
SE03,28,0.2719203036053131,0.8874762808349146
SE03,29,0.2693130929791271,0.9089184060721063
SE03,30,0.2716432637571157,0.9256925996204933
SE03,31,0.2718406072106262,0.9381024667931689
SE03,32,0.258034155597723,0.9445540796963947
SE03,33,0.2468804554079696,0.915977229601518
SE03,34,0.2305806451612903,0.9014800759013283
SE03,35,0.2449943074003795,0.9047438330170778
SE03,36,0.2217229601518027,0.8877798861480076
SE03,37,0.1969753320683112,0.8887666034155598
SE03,38,0.1709563567362429,0.8611764705882352
SE03,39,0.157415559772296,0.8711954459203036
SE03,40,0.1800607210626186,0.8886907020872865
SE03,41,0.2103833017077799,0.8735104364326375
SE03,42,0.2286489563567362,0.8723339658444023
SE03,43,0.2434914611005693,0.8737381404174573
SE03,44,0.286573055028463,0.8744592030360531
SE03,45,0.3002656546489564,0.9152182163187855
SE03,46,0.2861593927893738,0.9544592030360531
SE03,47,0.2878140417457306,0.9795445920303605
SE03,48,0.2835104364326376,0.9926755218216318
SE03,49,0.270022770398482,0.994079696394687
SE03,50,0.2453206831119545,0.9974573055028464
SE03,51,0.2301897533206831,0.9794686907020873
SE03,52,0.2097912713472486,0.9675901328273244
