plant_name,node,year,scenario,weather_year,H2_export,H2_import,H2_net_export,net_demand_electrolysis,electrolysis_demand
FR00_electrolyzer,FR00,2050,DistributedEnergy,2008,0.0,-72137.11769550004,72137.11769550004,249306086.69057006,177168.96899507
AT00_electrolyzer,AT00,2050,DistributedEnergy,2008,-29275.19433899,0.0,-29275.19433899,16767192.482169997,46042.38682116
DKE1_electrolyzer,DKE1,2050,DistributedEnergy,2008,-14090.308118110002,-41475.910494359996,27385.602376249994,39662687.42368999,12277.08504744
DKW1_electrolyzer,DKW1,2050,DistributedEnergy,2008,0.0,-77742.77119293,77742.77119293,97731188.10092999,19988.416908
BE00_electrolyzer,BE00,2050,DistributedEnergy,2008,-39160.135306820004,39983.39105566,-79143.52636248001,33559856.922379985,112703.38328486
CZ00_electrolyzer,CZ00,2050,DistributedEnergy,2008,-35392.9057963,0.0,-35392.9057963,17374723.297930002,52767.629094230004
ES00_electrolyzer,ES00,2050,DistributedEnergy,2008,18322.88989723,15022.99752882,3299.892368410001,190543102.73508,187243.21036666998
UK00_electrolyzer,UK00,2050,DistributedEnergy,2008,0.0,74913.69070049,-74913.69070049,236401901.45146,311315.59215195
HU00_electrolyzer,HU00,2050,DistributedEnergy,2008,-24411.458773929997,3355.08791826,-27766.546692189997,21919708.94996,49686.25564215
LU00_electrolyzer,LU00,2050,DistributedEnergy,2008,0.0,0.0,0.0,0.0,0.0
NL00_electrolyzer,NL00,2050,DistributedEnergy,2008,12725.527949799998,-60852.91542589,73578.44337569,210837544.80728,137259.10143159
PL00_electrolyzer,PL00,2050,DistributedEnergy,2008,3524.4865796799986,32535.430729619995,-29010.944149939998,89975668.55785,118986.61270779
PT00_electrolyzer,PT00,2050,DistributedEnergy,2008,0.0,-38139.24813275,38139.24813275,67254215.69727,29114.967564519997
SI00_electrolyzer,SI00,2050,DistributedEnergy,2008,0.0,6266.824192440001,-6266.824192440001,4704682.68783,10971.50688027
SK00_electrolyzer,SK00,2050,DistributedEnergy,2008,0.0,15505.292332870013,-15505.292332870013,6985166.189259987,22490.45852213
HR00_electrolyzer,HR00,2050,DistributedEnergy,2008,5133.30152404,0.0,5133.30152404,17087747.64188,11954.44611784
SE01_electrolyzer,SE01,2050,DistributedEnergy,2008,51439.001906469995,43059.055119799996,8379.94678667,13741883.724359998,5361.9369376899995
SE02_electrolyzer,SE02,2050,DistributedEnergy,2008,47825.44304675,51439.001906469995,-3613.5588597199967,5489747.121000004,9103.30598072
SE03_electrolyzer,SE03,2050,DistributedEnergy,2008,22534.06905509,47825.44304675,-25291.37399166,12765033.214850005,38056.407206510004
SE04_electrolyzer,SE04,2050,DistributedEnergy,2008,0.0,4304.599580690001,-4304.599580690001,8285498.715159998,12590.098295849999
NON1_electrolyzer,NON1,2050,DistributedEnergy,2008,0.0,0.0,0.0,0.0,0.0
NOM1_electrolyzer,NOM1,2050,DistributedEnergy,2008,0.0,0.0,0.0,0.0,0.0
NOS0_electrolyzer,NOS0,2050,DistributedEnergy,2008,0.0,0.0,0.0,0.0,0.0
CH00_electrolyzer,CH00,2050,DistributedEnergy,2009,-9.998984751291573e-09,0.0,-9.998984751291573e-09,-9.998984751291573e-06,0.0
IT00_electrolyzer,IT00,2050,DistributedEnergy,2009,3443.85644301,183399.19574835,-179955.33930534,131305103.32863002,311260.44263397
DE00_electrolyzer,DE00,2050,DistributedEnergy,2009,-205348.92975940002,144317.91852136998,-349666.84828077,308890147.78031003,658556.99606108
